example_id,language,vuln_type,source_id,source_path,dataset_path,line,tools,survey_tool,survey_role
EX014,java,path-traversal,webgoat,webgoat/src/main/java/org/owasp/webgoat/lessons/pathtraversal/ProfileUploadBase.java,dataset/java/path-traversal/EX014/ProfileUploadBase.java,72,codeql,,dataset_only
EX015,java,path-traversal,juliet-java,juliet-java/Java/src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__getCookies_Servlet_81_bad.java,dataset/java/path-traversal/EX015/CWE23_Relative_Path_Traversal__getCookies_Servlet_81_bad.java,50,codeql,,dataset_only
EX016,java,cmd-injection,benchmark,benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01362.java,dataset/java/cmd-injection/EX016/BenchmarkTest01362.java,75,bearer|codeql|semgrep,semgrep,dataset_only
EX017,java,cmd-injection,juliet-java,juliet-java/Java/src/testcases/CWE78_OS_Command_Injection/CWE78_OS_Command_Injection__getCookies_Servlet_21.java,dataset/java/cmd-injection/EX017/CWE78_OS_Command_Injection__getCookies_Servlet_21.java,49,codeql|semgrep,semgrep,calibration
EX018,java,cmd-injection,juliet-java,juliet-java/Java/src/testcases/CWE78_OS_Command_Injection/CWE78_OS_Command_Injection__getQueryString_Servlet_54e.java,dataset/java/cmd-injection/EX018/CWE78_OS_Command_Injection__getQueryString_Servlet_54e.java,63,codeql,,dataset_only
EX019,java,cmd-injection,benchmark,benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest02244.java,dataset/java/cmd-injection/EX019/BenchmarkTest02244.java,62,semgrep,semgrep,validation
EX020,java,cmd-injection,benchmark,benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01943.java,dataset/java/cmd-injection/EX020/BenchmarkTest01943.java,64,bearer|codeql,,dataset_only
EX021,python,sqli,vulpy,vulpy/bad/libuser.py,dataset/python/sqli/EX021/libuser.py,53,bearer|codeql|semgrep,codeql,calibration
EX022,python,sqli,vuln-bank,vuln-bank/auth.py,dataset/python/sqli/EX022/auth.py,121,codeql|semgrep,codeql,dataset_only
EX023,python,sqli,vuln-bank,vuln-bank/auth.py,dataset/python/sqli/EX023/auth.py,120,semgrep,,dataset_only
EX024,python,sqli,djangoat,djangoat/app/views/users/views.py,dataset/python/sqli/EX024/views.py,74,bearer|semgrep,,dataset_only
EX025,python,sqli,vuln-bank,vuln-bank/database.py,dataset/python/sqli/EX025/database.py,342,bearer|codeql,codeql,validation
EX026,python,xss,djangoat,djangoat/app/views/users/views.py,dataset/python/xss/EX026/views.py,80,bearer|codeql|semgrep,semgrep,dataset_only
EX027,python,xss,bandit-examples,bandit-examples/examples/mark_safe_insecure.py,dataset/python/xss/EX027/mark_safe_insecure.py,59,semgrep,semgrep,dataset_only
EX028,python,xss,pygoat,pygoat/introduction/mitre.py,dataset/python/xss/EX028/mitre.py,218,codeql,,dataset_only
EX029,python,xss,bandit-examples,bandit-examples/examples/jinja2_templating.py,dataset/python/xss/EX029/jinja2_templating.py,23,semgrep,semgrep,calibration
EX030,python,xss,djangoat,djangoat/app/views/users/performance/views.py,dataset/python/xss/EX030/views.py,20,semgrep,semgrep,validation
EX031,python,path-traversal,djangoat,djangoat/app/views/users/benefit_forms/views.py,dataset/python/path-traversal/EX031/views.py,34,codeql,codeql,calibration
EX032,python,path-traversal,bandit-examples,bandit-examples/examples/tarfile_extractall.py,dataset/python/path-traversal/EX032/tarfile_extractall.py,8,codeql,codeql,validation
EX033,python,path-traversal,vulpy,vulpy/bad/libapi.py,dataset/python/path-traversal/EX033/libapi.py,18,bearer,,dataset_only
EX034,python,path-traversal,pygoat,pygoat/introduction/playground/ssrf/main.py,dataset/python/path-traversal/EX034/main.py,7,bearer,,dataset_only
EX035,python,path-traversal,djangoat,djangoat/app/models/Benefits/benefits.py,dataset/python/path-traversal/EX035/benefits.py,41,bearer,,dataset_only
EX036,python,cmd-injection,pygoat,pygoat/introduction/mitre.py,dataset/python/cmd-injection/EX036/mitre.py,233,bearer|codeql|semgrep,bearer,dataset_only
EX037,python,cmd-injection,vulpy,vulpy/bad/brute.py,dataset/python/cmd-injection/EX037/brute.py,21,bearer,bearer,validation
EX038,python,cmd-injection,bandit-examples,bandit-examples/examples/subprocess_shell.py,dataset/python/cmd-injection/EX038/subprocess_shell.py,38,semgrep,,dataset_only
EX039,python,cmd-injection,pygoat,pygoat/challenge/views.py,dataset/python/cmd-injection/EX039/views.py,81,bearer|semgrep,bearer,calibration
EX040,python,cmd-injection,bandit-examples,bandit-examples/examples/subprocess_shell.py,dataset/python/cmd-injection/EX040/subprocess_shell.py,37,semgrep,,dataset_only
EX041,javascript,sqli,juice-shop,juice-shop/routes/login.ts,dataset/javascript/sqli/EX041/login.ts,34,bearer|codeql|semgrep,bearer,validation
EX042,javascript,sqli,dvws-node,dvws-node/controllers/passphrase.js,dataset/javascript/sqli/EX042/passphrase.js,58,bearer,bearer,calibration
EX043,javascript,sqli,nodegoat,nodegoat/app/data/user-dao.js,dataset/javascript/sqli/EX043/user-dao.js,91,codeql,,dataset_only
EX044,javascript,sqli,nodegoat,nodegoat/app/data/user-dao.js,dataset/javascript/sqli/EX044/user-dao.js,104,codeql,,dataset_only
EX045,javascript,sqli,dvna,dvna/core/appHandler.js,dataset/javascript/sqli/EX045/appHandler.js,11,bearer|codeql|semgrep,bearer,dataset_only
EX046,javascript,xss,brokencrystals,brokencrystals/client/src/pages/hidden/HiddenUpload.tsx,dataset/javascript/xss/EX046/HiddenUpload.tsx,132,bearer|codeql,bearer,calibration
EX047,javascript,xss,brokencrystals,brokencrystals/client/src/pages/hidden/HiddenUpload.tsx,dataset/javascript/xss/EX047/HiddenUpload.tsx,172,bearer,bearer,validation
EX048,javascript,xss,nodejs-goof,nodejs-goof/views/admin.ejs,dataset/javascript/xss/EX048/admin.ejs,17,codeql|semgrep,,dataset_only
EX049,javascript,xss,nodegoat,nodegoat/app/routes/contributions.js,dataset/javascript/xss/EX049/contributions.js,32,codeql,,dataset_only
EX050,javascript,xss,dvws-node,dvws-node/controllers/notebook.js,dataset/javascript/xss/EX050/notebook.js,144,codeql,,dataset_only
EX051,javascript,path-traversal,juice-shop,juice-shop/routes/fileServer.ts,dataset/javascript/path-traversal/EX051/fileServer.ts,33,bearer|codeql|semgrep,semgrep,calibration
EX052,javascript,path-traversal,juice-shop,juice-shop/routes/logfileServer.ts,dataset/javascript/path-traversal/EX052/logfileServer.ts,14,bearer|codeql|semgrep,semgrep,validation
EX053,javascript,path-traversal,dvws-node,dvws-node/controllers/storage.js,dataset/javascript/path-traversal/EX053/storage.js,78,codeql,,dataset_only
EX054,javascript,path-traversal,dvna,dvna/models/index.js,dataset/javascript/path-traversal/EX054/index.js,37,bearer,,dataset_only
EX055,javascript,path-traversal,nodejs-goof,nodejs-goof/routes/index.js,dataset/javascript/path-traversal/EX055/index.js,120,codeql,,dataset_only
EX056,javascript,cmd-injection,dvws-node,dvws-node/controllers/notebook.js,dataset/javascript/cmd-injection/EX056/notebook.js,78,bearer|codeql|semgrep,codeql,dataset_only
EX057,javascript,cmd-injection,brokencrystals,brokencrystals/src/mcp/mcp.tool-executor.service.ts,dataset/javascript/cmd-injection/EX057/mcp.tool-executor.service.ts,272,codeql|semgrep,codeql,dataset_only
EX058,javascript,cmd-injection,nodejs-goof,nodejs-goof/routes/index.js,dataset/javascript/cmd-injection/EX058/index.js,174,codeql,codeql,calibration
EX059,javascript,cmd-injection,dvna,dvna/core/appHandler.js,dataset/javascript/cmd-injection/EX059/appHandler.js,39,bearer|codeql,codeql,dataset_only
EX060,javascript,cmd-injection,brokencrystals,brokencrystals/src/app.service.ts,dataset/javascript/cmd-injection/EX060/app.service.ts,25,codeql|semgrep,codeql,validation
